Unnamed: 0,text,aspect,label
1,//@广州Les_go:我捻依出戏真系好多les噶最爱咯。,这是一条关于文化的评论,0
2,好写实同时都好向往。,这是一条关于文化的评论,0
3,念得我各种烦躁……,这是一条关于情感的评论,0
4,我要不要考虑下降低回家的频率啊 回来一次吵一次= =真烦人！！！,这是一条关于情感的评论,0
5,工资200 非诚勿扰 有意向请留言(妈的我是真的没空写这逼玩意儿了啊!),这是一条关于情感的评论,0
6,每天生活在欺骗中 又要言说别人的不忠 却也离不开 纠缠不清 不知为何 是利益呢还是利益呢还是利益呢 是假好人呢还是假好人呢还是假好人呢,这是一条关于宠物的评论,0
7,[抓狂]我竟然被那个考了车牌几个月但一直没有开过车的老妈笑话我笨！,这是一条关于情感的评论,0
8,哈哈哈哈哈哈哈哈！,这是一条关于宠物的评论,0
9,[耶]哈哈哈！,这是一条关于宠物的评论,0
10,开真车比这个好玩多了！,这是一条关于汽车的评论,0
11,我擦！！！,这是一条关于宠物的评论,0
12,三天满满当当的，除了晚上好像没事儿，谁在任丘啊，约我哇约我哇~~,这是一条关于宠物的评论,0
13,扬州一本地话节目，以前看看还可以，现在扫了眼，那个钟挂那过段时间响声替个公司做个广告，唉不晓得他们工作人员怎么想的，这么龊的插入广告方式，看扬州台的全老头老太，等过了些年等老人们仙去扬州台可以关门了阿，,这是一条关于娱乐的评论,0
14,这让我蛋疼！,这是一条关于育儿的评论,1
15,不过，喜欢4.0原生态的界面！,这是一条关于旅游的评论,1
16,尼玛！！！！,这是一条关于军事的评论,1
17,好好听！！！！！！！！！！！！,这是一条关于宠物的评论,1
18,我禁不住的鼓鼓掌[鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌],这是一条关于宠物的评论,1
19,大家要小心啊，在三里屯的天桥上。[委屈],这是一条关于情感的评论,0
20,中午吃多了，被国航一转场，全消食了。,这是一条关于财经的评论,0
21,介要是来得晚可咋办啊！,这是一条关于房产的评论,0
22,Tomouse：这里的雨洼刚刚干涸／户外刮起的风带着海水的味道／我只知道那个和这个时候的我很是想念那橙色灯光里跳动的家肴／温暖的被褥／还有临睡前流淌的涓涓细语／其实沉默的环境并不可怕／怕的是沉默的心[泪][泪][泪][泪][泪],这是一条关于情感的评论,0
23,官员一致认为，第五条值得借鉴！,这是一条关于时事的评论,0
24,当时则是直接从翻来覆去睡不着，到在一个新的地方的床上很困但睡不着，翻来翻去，一会儿觉得床单粗砺（是红黄相杂的老旧西洋花纹），一会儿觉得房间隔音不好，楼上有人咚咚摔倒。,这是一条关于房产的评论,0
25,我还看到我的东西都从旅行包里拿出来没整理，摊了房间一地，就像我家和我住过的旅馆房间情形一样，,这是一条关于旅游的评论,0
26,又要重复我每年必说的台词了，2010就要过去了，我很怀念它。,这是一条关于情感的评论,0
27,至少，它看上去很美。,这是一条关于文化的评论,0
28,欢迎你，2011，新年快乐！,这是一条关于旅游的评论,0
29,但竟然是落嘞的旧款旭峰电动车。,这是一条关于汽车的评论,0
30,怎么了?,这是一条关于娱乐的评论,0
31,好白菜都给猪拱了..,这是一条关于教育的评论,0
32,哥哥你什么时候能下面给我吃呢 我给你弄过十几回了 你都没有~~~~~~(_)~~~~,这是一条关于宠物的评论,0
