Unnamed: 0,text,aspect,label
1,法国老板热情又好客，主打可丽饼，也有法国空运来的生蚝和法国葡萄酒。,这是一条关于生活的评论,1
2,Crepes有近百种口味和配料可供选择，酱料超级丰富，咸甜味皆有。,这是一条关于旅游的评论,1
3,Lunch/Brunch Set 量都很大。,这是一条关于数码的评论,1
4,好吃P，无药医~ [偷笑],这是一条关于宠物的评论,0
5,当我接过U盘时，我震惊了！,这是一条关于数码的评论,0
6,可是，这么惬意的地方，出现了这样大煞风景的一幕?唉[害怕][害怕][害怕],这是一条关于宠物的评论,0
7,因为梦想，所以坚持 ![心],这是一条关于情感的评论,1
8,//@羊脂球小姐的爱:....这妞儿 真美[花心],这是一条关于娱乐的评论,1
9,他是舞蹈神童、却曾经说为了suju发展而退出的话、他不是不肯定自己的实力…,这是一条关于娱乐的评论,1
10,只是怕自己的拖累队友、他很努力的追求自己的爱情、却不知为何原因到现在都未成正果…,这是一条关于运动的评论,1
11,只是他从来没有放弃过、他是superjunior的舞蹈担当神童、他是我最心疼的偶吧申东熙。,这是一条关于娱乐的评论,1
12,编号50022308和编号50022645~代金券神马的最好了~~~[太开心] 地址：[活动],这是一条关于证券的评论,1
13,一流的！,这是一条关于娱乐的评论,1
14,这是我偷偷发的[哈哈][哈哈],这是一条关于宠物的评论,1
15,//@刘洪婧还是要偶尔上下微博:是这个美术生~[哈哈],这是一条关于时事的评论,1
16,故意杀人罪，枪毙！[怒],这是一条关于情感的评论,0
17,中国不是美国法律在什邡暴乱中的无力难道看不出来吗,这是一条关于历史的评论,0
18,相比之下TANK是板正了些，积家确显优雅。[失望],这是一条关于数码的评论,0
19,广电的垃圾信号，连720p都达不到，顶天480p,这是一条关于数码的评论,0
20,顺便BS一下广电机顶盒和遥控器那街道作坊级别的功能和质量，有它们在，再高级的电视功能配置都被浪费了，永远怀念我的双画面功能，当时看球赛的利器呀,这是一条关于数码的评论,0
21,尤其是后面部分，听入迷了~~[害羞] [视频],这是一条关于情感的评论,1
22,我在这里: #长沙市区#很高兴再次见到卡尔?兰德里，再一次的合作开始了。,这是一条关于运动的评论,0
23,一定有用~[鼓掌],这是一条关于文化的评论,1
24,回复@森淼1029:[哈哈]啊哈哈哈哈哈！,这是一条关于宠物的评论,0
25,只有雕能让我对妞的热情不减啊！[赞]好怀念屁屁体委里得我妞！,这是一条关于宠物的评论,0
26,再也会不去了！[泪],这是一条关于情感的评论,0
27,分享图片 收到洪磊老师亲手设计的展览请柬，非常奇特的设计，特别是标题时间和照片巧妙的衔接，引人疑惑又明确。,这是一条关于教育的评论,1
28,期待二十七日飞去上海体验更奇妙的展览。@大静的旅行,这是一条关于时事的评论,1
29,把我的希望用文字来寄托，微笑期待与亲有一次开心的偶遇。[庆祝],这是一条关于情感的评论,0
30,这本身就是一件开心与快乐的事情这一刻我们的幸福就被Hold住了，祝小编快乐、幸福、如意、健康！@源林华,这是一条关于娱乐的评论,0
31,我在金地中心：领导派我来取点儿东西，坐在不同的办公室体验不同的办公氛围和公司文化还挺有意思的[鬼脸二]比如以前以为先玉335是个烟名儿，最近才知道这是种玉米种子[开心][开心],这是一条关于科普的评论,0
32,我正在质疑中， 网线总出问题！[晕],这是一条关于科技的评论,0
33,不过的确是可敬的对手，求李宗伟和林丹的~,这是一条关于运动的评论,1
34,支持！！[赞] 郭培加油~~ [haha],这是一条关于情感的评论,1
35,尼玛'''我长的老吗？,这是一条关于情感的评论,0
36,无语了'''尼玛''[怒] 我在:,这是一条关于情感的评论,0
37,像露珠一样滑入心底[嘻嘻],这是一条关于情感的评论,1
38,//@阿宁祝玄彬的智苑628生日粗卡: 你的笑靥，仿佛夏天的风，从六月飘来七月，清新而淡雅，悄无声息地滑入心底…,这是一条关于情感的评论,1
39,【邹恒甫：有经济学家当婊子还立牌坊】他们一边在央行货币委员会当委员拿国家的工资，一边给上市银行当独立董事拿高薪，两头赚。,这是一条关于证券的评论,0
40,就像一边给裁判员打工，一边给运动员打工，简直把国家大事当儿戏。,这是一条关于运动的评论,0
41,这些人都是说一套、做一套，“当婊子还要立牌坊”。,这是一条关于历史的评论,0
42,癌症率居全国前列谁说的？,这是一条关于科普的评论,0
43,没有证据的危言耸听还是少说的好。,这是一条关于情感的评论,0
44,北京演唱会热情犹在，紧接着韩庚为喜欢他的朋友们又送上一份厚礼——全新单曲《最佳听众》重磅发布！,这是一条关于娱乐的评论,1
45,这首歌曲更是邀请到了乐坛天后萧亚轩一起合唱，相信两位全能实力艺人的合作，会迸发出更多精彩火花！,这是一条关于娱乐的评论,1
46,我的HHP碎成一地渣了啊哈哈XDDD,这是一条关于宠物的评论,0
47,美国一只20个月大的伯瑞犬(Briard)有一个拿手绝活：它喜欢骑着滑板车到处溜达！,这是一条关于宠物的评论,1
48,汪星人又进化啦！[视频],这是一条关于宠物的评论,1
49,是因为他们首先对不起人民。,这是一条关于历史的评论,0
50,社会公平正义在哪里？,这是一条关于时事的评论,0
51,政府执政党都在忙乎些啥？,这是一条关于时事的评论,0
52,支持好活动，祝大家都好运！,这是一条关于情感的评论,1
53,"分享是一种美德,感谢这么给力的活动，微博有你更精彩",这是一条关于娱乐的评论,1
54,长得好。。。,这是一条关于娱乐的评论,1
55,祥和。。。,这是一条关于旅游的评论,1
56,我喜欢从烟雾中走出的自恋的你~ [心情],这是一条关于情感的评论,1
57,这样造谣的贴新浪应该删博主的ID吧!,这是一条关于情感的评论,0
58,不气不气！,这是一条关于情感的评论,0
59,我就是对这人人品不认同 有话不说直接拉黑 估计回复都得删了我的！！,这是一条关于情感的评论,0
60,//@爱上锦紫苏:空姐姐，咱不生气了啊，不跟sb一般见识，还是想想哪天咱俩去吃饭吧[爱你][爱你][爱你],这是一条关于情感的评论,0
61,哈哈~,这是一条关于宠物的评论,0
62,最讨厌闯红灯的，还拖家带口闯红灯！,这是一条关于汽车的评论,0
63,//@甜心偶尔改个名儿之上班T_T:最讨厌这种傻逼！！！,这是一条关于情感的评论,0
64,非得走你还不快点儿走，打着电话，眼神放空，一步三回头你走台步啊你！！,这是一条关于情感的评论,0
65,小清新!!!!!!!!!!!!!!!!!!,这是一条关于宠物的评论,1
66,//@Daisy__勋鹿中毒中: 好喜欢！！,这是一条关于情感的评论,1
67,《【爱の虹】20120421 LONDON HEAT～ロンドン热视线「樱井翔」》 [视频]@土豆网娱乐）福原爱小时候好可爱，日本的瓷娃娃说着一口东北话。,这是一条关于育儿的评论,1
68,哈哈。,这是一条关于宠物的评论,1
69,笑喷未能怀孕[哈哈],这是一条关于育儿的评论,0
70,哈哈，真的吓到了，一看到保时捷就激动了。,这是一条关于汽车的评论,0
71,很绿很环保，很好很强大[good],这是一条关于旅游的评论,1
72,我昨天去看了lucky，医生怕lucky太兴奋，没有让照相，lucky的精神状态非常好[爱你],这是一条关于宠物的评论,1
73,智商不够哈哈哈！,这是一条关于宠物的评论,0
74,足利大人帅的我牛内啊！！,这是一条关于运动的评论,0
75,真NB，变态四国！,这是一条关于历史的评论,1
76,"[话筒]今天有一段出现的都是70、80年代的歌手，是经历现实与梦想冲击的一代，也是充满惊喜与意外的年代,可能这些歌手就像是一个情人一样，永远都不会腻味，永远在心里都有一个位置，突然间听到的时候还有点酸酸的，还夹杂着一些失落感吧《Cool jamz》正在直播，在收听地址：",这是一条关于娱乐的评论,0
77,提供这么好的活动！！,这是一条关于文化的评论,1
78,好活动大家支持支持！！！,这是一条关于旅游的评论,1
79,好品牌值得大家信赖和关注！！,这是一条关于数码的评论,1
80,朝廷台的@CCTV外语频道 进来看看，你所谓的马英九表态“中华民国政府和国军将采取一切必要的措施，捍卫祖国主权和领土的完整”在你的白日梦中吧。,这是一条关于时事的评论,0
81,有的官员读完博士后，居然只用了4个月。,这是一条关于财经的评论,0
82,诶嘛~你截图了~好聪明~[哈哈][哈哈][哈哈]就是赚人气啦~。。,这是一条关于宠物的评论,1
83,[嘻嘻] [嘻嘻],这是一条关于宠物的评论,0
84,15岁给青少年们看看，不要虚荣的以为坐进豪车就会有好日子等着你了，等着你的也许是一生都灰烬的断头路！,这是一条关于汽车的评论,0
85,汤同学的毕业作品 依然是他的风格 细致逼真 其实我反而觉得佢的更有特色 只是位置唔好@dingdong_yip 琴日超攰啊 你攰吗 睇展真??,这是一条关于娱乐的评论,1
